x,y,u,v
16.0,20.0,,
32.0,20.0,,
48.0,20.0,,
64.0,20.0,,
80.0,20.0,,
96.0,20.0,,
112.0,20.0,,
128.0,20.0,,
144.0,20.0,,
160.0,20.0,,
176.0,20.0,,
192.0,20.0,,
208.0,20.0,,
224.0,20.0,,
240.0,20.0,,
256.0,20.0,,
272.0,20.0,,
288.0,20.0,,
304.0,20.0,,
320.0,20.0,,
336.0,20.0,,
352.0,20.0,,
368.0,20.0,,
384.0,20.0,,
400.0,20.0,,
416.0,20.0,,
432.0,20.0,,
448.0,20.0,,
464.0,20.0,,
480.0,20.0,,
496.0,20.0,,
512.0,20.0,,
528.0,20.0,,
544.0,20.0,,
560.0,20.0,,
576.0,20.0,,
592.0,20.0,,
608.0,20.0,,
624.0,20.0,,
640.0,20.0,,
656.0,20.0,,
672.0,20.0,,
688.0,20.0,,
704.0,20.0,,
720.0,20.0,,
736.0,20.0,,
752.0,20.0,,
768.0,20.0,,
784.0,20.0,,
800.0,20.0,,
816.0,20.0,,
832.0,20.0,,
848.0,20.0,,
864.0,20.0,,
880.0,20.0,,
896.0,20.0,,
912.0,20.0,,
928.0,20.0,,
944.0,20.0,,
960.0,20.0,,
976.0,20.0,,
992.0,20.0,,
1008.0,20.0,,
1024.0,20.0,,
1040.0,20.0,,
1056.0,20.0,,
1072.0,20.0,,
1088.0,20.0,,
1104.0,20.0,,
1120.0,20.0,,
1136.0,20.0,,
1152.0,20.0,,
1168.0,20.0,,
1184.0,20.0,,
1200.0,20.0,,
1216.0,20.0,,
1232.0,20.0,,
1248.0,20.0,,
1264.0,20.0,,
1280.0,20.0,,
1296.0,20.0,,
1312.0,20.0,,
1328.0,20.0,,
1344.0,20.0,,
1360.0,20.0,,
1376.0,20.0,,
1392.0,20.0,,
1408.0,20.0,,
1424.0,20.0,,
1440.0,20.0,,
1456.0,20.0,,
1472.0,20.0,,
1488.0,20.0,,
1504.0,20.0,,
1520.0,20.0,,
1536.0,20.0,,
1552.0,20.0,,
1568.0,20.0,,
1584.0,20.0,,
1600.0,20.0,,
1616.0,20.0,,
1632.0,20.0,,
1648.0,20.0,,
1664.0,20.0,,
1680.0,20.0,,
1696.0,20.0,,
1712.0,20.0,,
1728.0,20.0,,
1744.0,20.0,,
1760.0,20.0,,
1776.0,20.0,,
1792.0,20.0,,
1808.0,20.0,,
1824.0,20.0,,
1840.0,20.0,,
1856.0,20.0,,
1872.0,20.0,,
1888.0,20.0,,
1904.0,20.0,,
16.0,36.0,,
32.0,36.0,,
48.0,36.0,,
64.0,36.0,,
80.0,36.0,,
96.0,36.0,,
112.0,36.0,,
128.0,36.0,,
144.0,36.0,,
160.0,36.0,,
176.0,36.0,,
192.0,36.0,,
208.0,36.0,,
224.0,36.0,,
240.0,36.0,,
256.0,36.0,,
272.0,36.0,,
288.0,36.0,,
304.0,36.0,,
320.0,36.0,,
336.0,36.0,,
352.0,36.0,,
368.0,36.0,,
384.0,36.0,,
400.0,36.0,,
416.0,36.0,,
432.0,36.0,,
448.0,36.0,,
464.0,36.0,,
480.0,36.0,,
496.0,36.0,,
512.0,36.0,,
528.0,36.0,,
544.0,36.0,,
560.0,36.0,,
576.0,36.0,,
592.0,36.0,,
608.0,36.0,,
624.0,36.0,,
640.0,36.0,,
656.0,36.0,,
672.0,36.0,,
688.0,36.0,,
704.0,36.0,,
720.0,36.0,,
736.0,36.0,,
752.0,36.0,,
768.0,36.0,,
784.0,36.0,,
800.0,36.0,,
816.0,36.0,,
832.0,36.0,,
848.0,36.0,,
864.0,36.0,,
880.0,36.0,,
896.0,36.0,,
912.0,36.0,,
928.0,36.0,,
944.0,36.0,,
960.0,36.0,,
976.0,36.0,,
992.0,36.0,,
1008.0,36.0,,
1024.0,36.0,,
1040.0,36.0,,
1056.0,36.0,,
1072.0,36.0,,
1088.0,36.0,,
1104.0,36.0,,
1120.0,36.0,,
1136.0,36.0,,
1152.0,36.0,,
1168.0,36.0,,
1184.0,36.0,,
1200.0,36.0,,
1216.0,36.0,,
1232.0,36.0,,
1248.0,36.0,,
1264.0,36.0,,
1280.0,36.0,,
1296.0,36.0,,
1312.0,36.0,,
1328.0,36.0,,
1344.0,36.0,,
1360.0,36.0,,
1376.0,36.0,,
1392.0,36.0,,
1408.0,36.0,,
1424.0,36.0,,
1440.0,36.0,,
1456.0,36.0,,
1472.0,36.0,,
1488.0,36.0,,
1504.0,36.0,,
1520.0,36.0,,
1536.0,36.0,,
1552.0,36.0,,
1568.0,36.0,,
1584.0,36.0,,
1600.0,36.0,,
1616.0,36.0,,
1632.0,36.0,,
1648.0,36.0,,
1664.0,36.0,,
1680.0,36.0,,
1696.0,36.0,,
1712.0,36.0,,
1728.0,36.0,,
1744.0,36.0,,
1760.0,36.0,,
1776.0,36.0,,
1792.0,36.0,,
1808.0,36.0,,
1824.0,36.0,,
1840.0,36.0,,
1856.0,36.0,,
1872.0,36.0,,
1888.0,36.0,,
1904.0,36.0,,
16.0,52.0,,
32.0,52.0,,
48.0,52.0,,
64.0,52.0,,
80.0,52.0,,
96.0,52.0,,
112.0,52.0,,
128.0,52.0,,
144.0,52.0,,
160.0,52.0,,
176.0,52.0,,
192.0,52.0,,
208.0,52.0,,
224.0,52.0,,
240.0,52.0,,
256.0,52.0,,
272.0,52.0,,
288.0,52.0,,
304.0,52.0,,
320.0,52.0,,
336.0,52.0,,
352.0,52.0,,
368.0,52.0,,
384.0,52.0,,
400.0,52.0,,
416.0,52.0,,
432.0,52.0,,
448.0,52.0,,
464.0,52.0,,
480.0,52.0,,
496.0,52.0,,
512.0,52.0,,
528.0,52.0,,
544.0,52.0,,
560.0,52.0,,
576.0,52.0,,
592.0,52.0,,
608.0,52.0,,
624.0,52.0,,
640.0,52.0,,
656.0,52.0,,
672.0,52.0,,
688.0,52.0,,
704.0,52.0,,
720.0,52.0,,
736.0,52.0,,
752.0,52.0,,
768.0,52.0,,
784.0,52.0,,
800.0,52.0,,
816.0,52.0,,
832.0,52.0,,
848.0,52.0,,
864.0,52.0,,
880.0,52.0,,
896.0,52.0,,
912.0,52.0,,
928.0,52.0,,
944.0,52.0,,
960.0,52.0,,
976.0,52.0,,
992.0,52.0,,
1008.0,52.0,,
1024.0,52.0,,
1040.0,52.0,,
1056.0,52.0,,
1072.0,52.0,,
1088.0,52.0,,
1104.0,52.0,,
1120.0,52.0,,
1136.0,52.0,,
1152.0,52.0,,
1168.0,52.0,,
1184.0,52.0,,
1200.0,52.0,,
1216.0,52.0,,
1232.0,52.0,,
1248.0,52.0,,
1264.0,52.0,,
1280.0,52.0,,
1296.0,52.0,,
1312.0,52.0,,
1328.0,52.0,,
1344.0,52.0,,
1360.0,52.0,,
1376.0,52.0,,
1392.0,52.0,,
1408.0,52.0,,
1424.0,52.0,,
1440.0,52.0,,
1456.0,52.0,,
1472.0,52.0,,
1488.0,52.0,,
1504.0,52.0,,
1520.0,52.0,,
1536.0,52.0,,
1552.0,52.0,,
1568.0,52.0,,
1584.0,52.0,,
1600.0,52.0,,
1616.0,52.0,,
1632.0,52.0,,
1648.0,52.0,,
1664.0,52.0,,
1680.0,52.0,,
1696.0,52.0,,
1712.0,52.0,,
1728.0,52.0,,
1744.0,52.0,,
1760.0,52.0,,
1776.0,52.0,,
1792.0,52.0,,
1808.0,52.0,,
1824.0,52.0,,
1840.0,52.0,,
1856.0,52.0,,
1872.0,52.0,,
1888.0,52.0,,
1904.0,52.0,,
16.0,68.0,,
32.0,68.0,,
48.0,68.0,,
64.0,68.0,,
80.0,68.0,,
96.0,68.0,,
112.0,68.0,,
128.0,68.0,,
144.0,68.0,,
160.0,68.0,,
176.0,68.0,,
192.0,68.0,,
208.0,68.0,,
224.0,68.0,,
240.0,68.0,,
256.0,68.0,,
272.0,68.0,,
288.0,68.0,,
304.0,68.0,,
320.0,68.0,,
